,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
9032,81.0,0.0,4.0,2.0,5726.0,6.0,2.0,2022.0,21.0101531,105.7988345,10055.0,0.0534061638818951,26.0,1.0,3.985
33901,139.0,4.0,4.0,2.0,4224.0,5.0,4.0,2019.0,21.0599324,105.78335889999994,12500.0,0.0534061638818951,26.0,1.0,0.186
23490,75.0,3.0,4.0,2.0,5228.0,5.0,2.0,2024.0,10.876248,106.660338,71514.0,0.0534003669794765,26.0,1.0,22.0
5548,12.3,2.0,1.0,1.0,5955.0,6.0,4.0,2022.0,10.758270163035528,106.62749978589224,73118.0,0.0400670336461432,27.0,0.0,1.5
382,67.12,0.0,2.0,2.0,6265.0,6.0,4.0,2023.0,10.81037675,106.79237515,71350.0,0.0534003669794765,26.0,0.0,2.85
33017,50.0,4.0,4.0,5.0,3714.0,3.0,3.0,2021.0,20.9929685,105.8365897,10181.0,7.283054856179167e-05,30.0,1.0,5.5
6013,55.7,2.0,3.0,2.0,6274.0,6.0,4.0,2022.0,10.863419760923218,106.70920449856506,70000.0,0.0534003669794765,26.0,0.0,3.2
153,68.0,0.0,2.0,2.0,1226.0,4.0,3.0,2024.0,10.7178648,106.6191856,73118.0,0.0534003669794765,26.0,0.0,3.89
29914,111.0,2.0,5.0,5.0,1367.0,3.0,1.0,2023.0,10.876248,106.660338,71514.0,0.0534003669794765,26.0,1.0,30.89
3777,66.57,0.0,2.0,2.0,4053.0,4.0,4.0,2021.0,10.751516964937055,106.72436880991388,71800.0,0.0534003669794765,26.0,0.0,3.75
24658,290.0,2.0,4.0,2.0,2864.0,5.0,4.0,2021.0,21.0180725,105.8299495,10306.0,7.283054856179167e-05,30.0,1.0,70.0
16473,34.0,3.0,4.0,4.0,5213.0,3.0,4.0,2022.0,21.01001460938577,105.7478676116699,10074.0,0.0534061638818951,26.0,1.0,2.8
34496,175.0,4.0,4.0,2.0,1882.0,3.0,2.0,2019.0,20.979868,105.74391939999998,10170.0,0.0400728305485618,27.0,1.0,0.51
33965,175.0,4.0,4.0,2.0,1882.0,5.0,4.0,2019.0,20.981731266818187,105.75369352955316,10170.0,0.0534061638818951,26.0,1.0,0.54
3480,70.0,0.0,2.0,2.0,4254.0,6.0,2.0,2022.0,10.829461675964769,106.61557053174454,71509.0,0.0534003669794765,26.0,0.0,2.75
2561,66.2,0.0,2.0,2.0,4053.0,4.0,4.0,2022.0,10.751516964937055,106.72436880991388,71800.0,0.0534003669794765,26.0,0.0,4.0
20724,46.0,3.0,3.0,2.0,6429.0,6.0,2.0,2019.0,21.00069,105.86365,11622.0,0.0534061638818951,26.0,1.0,3.5
33286,91.5,4.0,4.0,2.0,2348.0,3.0,4.0,2020.0,21.0277644,105.8341598,10081.0,0.0534061638818951,26.0,1.0,4.5
7720,63.3,2.0,1.0,1.0,3189.0,6.0,2.0,2022.0,10.758896478471693,106.6029400007288,73118.0,0.0534003669794765,26.0,0.0,4.2
13728,65.0,0.0,1.0,1.0,7097.0,3.0,4.0,2021.0,10.8019128,106.7647475,71210.0,0.0534003669794765,26.0,1.0,1.7
